ഏതു നദിയിലാണ് 'കുറുവ' ദ്വീപ് സ്ഥിതി ചെയ്യുന്നത്?,ഭവാനി,പാബാര്‍,കബനി,കുന്തിപ്പുഴ,A
തിരുവിതാംകൂറില്‍ 'അലോപ്പതി' ചികിത്സാ സമ്പ്രദായം ആരംഭിച്ച ഭരണാധികാരി.,സ്വാതി തിരുനാള്‍,"
ഗൗരി ലക്ഷ്മി ഭായി",ഗൗരി പര്‍വതിഭായി,ധര്‍മ്മരാജ,B
വ്യവസായം ഉള്‍പ്പെടുന്നത്‌ സമ്പത്ത് വ്യവസ്ഥയിലെ ഏതു മേഘലയിലാണ്?,സേവന മേഘല,പ്രാഥമിക മേഘല,ദ്വിതീയ മേഘല,ത്രതീയ മേഘല,C
ഗവൺമെന്റിന്റെ സേവനങ്ങള്‍ ജനങ്ങളിലേക്കെത്തിക്കുന്നത് ആരിലൂടെയാണ്? ,മത്രിസഭ,പഞ്ചായത്ത്,കോടതി,ഉദ്യോഗസ്ഥ വ്യന്ദം,D
അമേരിക്കന്‍ കോളനികള്‍ ഇംഗ്ലണ്ടില്‍ നിന്ന് സ്വാതന്ത്ര്യം നേടുന്നത് കാരണമായ ഉടമ്പടി ഏത്?,പാരീസ് ഉടമ്പടി,മോസ്കോ ഉടമ്പടി,വേഴ്സായ് ഉടമ്പടി,ബോസ്റ്റണ്‍ ഉടമ്പടി,A
പാര്‍ലമെന്റിന്റെ സംയുക്തസംമ്മേളനത്തില്‍ അധ്യക്ഷത വഹിക്കേണ്ടത് ആര്?,രാഷ്ട്രപതി,ലോക്സഭ സ്പീക്കര്‍,ഉപരാഷ്ട്രപതി ,രാജ്യസഭ ഉപാധ്യക്ഷന്‍,B
ഭഗത് സിങ്ങിന്‍റെ സ്മാരകമായ 'ഭഗത സിങ്ങ് ചൗക്ക്' സ്ഥിതി ചെയ്യുന്നതെവിടെ?,ലാഹോര്‍,അമൃത്സര്‍,റാവല്‍പിണ്ടി,ഗുരുദാസ്പൂര്‍,A
പശ്ചിമ തീര സമതലത്തിന്റെ മധ്യഭാഗം ഏതു പേരില്‍ അറിയപ്പെടുന്നു?,മലബാര്‍ തീരം,സിര്‍കാര്‍ തീരം,കോറമാണ്ടല്‍ തീരം,കൊങ്കൺ തീരം,D
ഇന്ത്യയില്‍ സാമ്പത്തീക ആസൂത്രണ സംവിധാനമായ നീതി അയോഗ് നിലവില്‍ വന്നതെന്ന്?,2015 ഏപ്രില്‍ 1,2015 ജനുവരി 1,2015 ജൂലൈ 1,2015 ഒക്ടോബര്‍ 1,B
നയന്‍കാര' 'അയ്യഗാര്‍' എന്നീ ഭരണ രീതികള്‍ പിന്തുടര്‍ന്നിരുന്ന സാമ്രാജ്യം,മറാത്ത സാമ്രാജ്യം,മുഗള്‍ സാമ്രാജ്യം,വിജയനഗര സാമ്രാജ്യം,ബാമിനി സാമ്രാജ്യം,C
ധരാതലീയ ഭൂപടങ്ങളിലെ 'നോര്ത്തിംഗ്സ്' ഏതു ദിശയില്‍ വരച്ചിരിക്കുന്ന രേഖകളാണ്,കിഴക്ക് പടിഞ്ഞാറ്,തെക്ക് പടിഞ്ഞാറ്,വടക്ക് കിഴക്ക്,തെക്ക് വടക്ക്,D
ഇ-ഗവേണേൻസ്' എന്നതുകൊണ്ട് ഉദ്ദേശിക്കുന്നത്,ഗവൺമെന്റ് ഓഫീസുകളില്‍ ഇന്റര്‍നെറ്റ് ഏര്‍പ്പെടുത്തുന്നത്.,ഭരണ രംഗത്ത് ഇലക്ട്രോണിക് സാങ്കേതിക വിദ്യയുടെ ഉപയോഗം.,മന്ത്രിമാര്‍ ഇ-മെയില്‍ ഉപയോഗിച്ച് ആശയവിനിമയം നടത്തുന്നത്.,തെരഞ്ഞെടുപ്പില്‍ വോട്ടിംഗ് യന്ത്രം ഉപയോഗിക്കുന്നത്.,B
താഴെ പറയുന്നവയില്‍ മൂന്നാം പഞ്ചവത്സര പദ്ധതിക്കാലത്ത് തുടക്കം കുറിച്ച പ്രവര്‍ത്തനം.,ഹരിത വിപ്ലവം,ഗരീബി ഹഠാവോ,വ്യവസായ വൽക്കരണം,പുത്തൻ സാമ്പത്തിക നയം,A
ഇടുക്കി ഡാമിന്റെ പരമാവതി ജലസംഭരണശേഷി എത്ര അടിയാണ്?,2304 അടി,2430 അടി,2403 അടി,2340 അടി,C
ദേശീയ തലത്തിൽ അഴിമതി തടയുന്നതിനു വേണ്ടി രൂപികരിക്കപ്പെട്ടിരിക്കുന്ന സ്ഥാപനം.,ഓംബുഡ്‌സ്മാൻ,വിജിലൻസ് കമ്മീഷൻ,ലോകായുക്ത,ലോക്പാൽ,D
ഭൂമിയുടെ ഉൾഭാഗത്തുള്ള 'അകക്കാമ്പ്' ഏത് അവസ്ഥയിലാണ് സ്ഥിതിചെയ്യുന്നത്,ഖരം,ദ്രാവകം,വാതകം,പ്ലാസ്മ,A
പോക്സോ(Poxo) നിയമംകേരളത്തിൽ നിലവിൽ വന്ന വർഷം,2010,2011,2012,2013,C
ഇന്ത്യയിൽ ജി.എസ്.ടി. ബിൽ പാസാക്കിയ ആദ്യ സംസ്ഥാനം,ബിഹാർ,കേരളം,ഒഡീഷ,ആസ്സാം,D
ജാതിവ്യവസ്ഥക്കും തൊട്ടുകുട്ടായ്മക്കും എതിരെ പരാമർശമുള്ള ആദ്യമലയാള കൃതി,ജാതി ലക്ഷണം,ജാതിക്കുമ്മി,ഈശ്വര വിചാരം,ജാതിമീമാംസ,B
1921ൽ നിലവിൽ വന്ന 'ഇംപീരിയൽ ബാങ്ക് ഓഫ് ഇന്ത്യ'യുടെ ഇപ്പോഴത്തെ പേര്,സ്റ്റേറ്റ് ബാങ്ക് ഓഫ് ഇന്ത്യ,പഞ്ചാബ് നാഷണൽ ബാങ്ക്,യൂണിയൻ ബാങ്ക് ഓഫ് ഇന്ത്യ,റിസർവ് ബാങ്ക് ഓഫ് ഇന്ത്യ,A
പേശി കോശത്തിന്റെ അടിസ്ഥാന സങ്കോച യൂണിറ്റുകളാണ്,ഫാസിക്കിൾ,മയോഫൈബ്രിന്‍,സാര്‍ക്കോമിയര്‍,അക്ടിന്‍,C
യുവത്വ ഹോര്‍മോണ്‍ എന്ന് അറിയപ്പെടുന്ന ഹോര്‍മോൺ,കോര്‍ട്ടിസോള്‍,തൈമോസിന്‍,ഇന്‍സുലിന്‍,വാസോപ്രസിന്‍,B
ഷട്പദങ്ങളുടെ വിസർജ്യ വസ്തു,യൂറിയ,അമോണിയ,ജലം,യൂറിക് ആസിഡ്,D
ദ്വി നാമ പദ്ധതി ആവിഷ്കരിച്ച ശാസ്ത്രജ്ഞൻ,ജോണ്‍ റേ,കാള്‍ ലിനേയസ്,അരിസ്റ്റോട്ടില്‍,തിയോ ഫ്രാറ്റസ്,B
മസ്തിഷ്ക്കത്തിലേയും സുഷുപ്മ്നയിലേയൂം മയലിന്‍ഷീത്ത് നിര്‍മ്മിക്കപ്പെട്ടിരിക്കുന്ന സവിശേഷ കോശങ്ങളാണ്,ആസ്ട്രോസൈറ്റുകള്‍,കഫര്‍ സെല്ലുകള്‍,ഒളിഗോ ഡെൻട്രോസൈറ്റുകൾ,ഷ്വാൻ സെല്ലുകള്‍,C
മനുഷ്യന്‍റെ റെറ്റിനയില്‍ പതിക്കുന്ന പ്രതിബിംബത്തിന്റെ പ്രത്യേകത എന്ത്?,"യഥാര്‍ത്ഥം, തല തിരിഞ്ഞത്","യഥാര്‍ത്ഥം, നിവര്‍ന്നത്","മിഥ്യ, നിവര്‍ന്നത്","മിഥ്യ, തല തിരിഞ്ഞത്",A
ആറ്റത്തിന്റെ നുക്ലിയസിന്റെ വലിപ്പം പറയാന്‍ ഉപയോഗിക്കുന്ന യൂണിറ്റ് ഏത്?,ആങ്സ്ട്രം,ന്യൂട്ടൻ,വെബർ,ഫെർമി,D
ഹൈഡ്രോളിക് പ്രസിന്റെ പ്രവര്‍ത്തനതത്വം എന്ത്?,ചാള്‍സ് നിയമം,ആര്‍ക്കമെഡിസ് തത്വം,പാസ്കല്‍ നിയമം,ന്യൂട്ടന്റെ രണ്ടാം ചലന നിയമം,C
സൂര്യനും നക്ഷത്രങ്ങള്‍ക്കും വികിരണോര്‍ജം കിട്ടുന്നതിന് കാരണമായ പ്രവര്‍ത്തനം ഏത്?,ഫോട്ടോ ഇലക്ട്രിക്‌ പ്രവര്‍ത്തനം,ഫ്യൂഷന്‍ പ്രവര്‍ത്തനം,ഫിഷന്‍ പ്രവര്‍ത്തനം,ഡോപ്ലര്‍ എഫക്ട്,B
ഹരിതഗൃഹ വാതകങ്ങളില്‍ പെടാത്ത വാതകമേത്?,മീഥേന്‍,നൈട്രസ് ഓക്സൈഡ്,കാര്‍ബണ്‍ ഡയോക്സൈഡ്,ഹൈഡ്രജന്‍,D
അല്ഫാന്യൂമെറിക് ഡാറ്റാ എന്‍ട്രിയ്ക്കു ഉപയോഗിക്കുന്ന ഇന്‍പുട്ട് ഡിവൈസ് ഏത്,മൗസ്,ജോയ്സ്റ്റിക്ക്,കീബോര്‍ഡ്,ലൈറ്റ് പെന്‍,C
താഴെ പറയുന്നവയില്‍ തത്കാലികമായി ഡേറ്റ സ്റ്റോര്‍ ചെയ്യാന്‍ ഉപയോഗിക്കുന്ന മെമ്മറി ഏത്?,ROM,RAM,PROM,EPROM,B
ഓപ്പറേറ്റിംഗ് സിസ്റ്റം എന്ന സോഫ്റ്റ്‌വെയർ താഴെ പറയുന്നവയില്‍ ഏതു വിഭാഗത്തില്‍ പെടുന്നു,ലാംഗ്വേജ് പ്രോസസ്സർ,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്‌വെയർ,സിസ്റ്റം സോഫ്റ്റ്‌വെയർ,യൂട്ടിലിറ്റി സോഫ്റ്റ്‌വെയർ,C
ലോകത്തിലെ ഏറ്റവും വലിയ നെറ്റ് വര്‍ക്കിന് ഉദാഹരണം ആണ്,ടെലിഫോണ്‍ നെറ്റ് വര്‍ക്ക്,കേബിള്‍ നെറ്റ് വര്‍ക്ക്,റയില്‍വേ നെറ്റ് വര്‍ക്ക്,ഇന്റര്‍നെറ്റ്‌,D
താഴെ പറയുന്നവയില്‍ URLഇന്‍റെ പൂര്‍ണ്ണരൂപം എഴുതുക,യുണൈറ്റെഡ് റിസോഴ്സ് ലൊക്കേഷന്‍,യുണിഫോം റിസോഴ്സ് ലോക്കേറ്റര്‍,യുണൈറ്റഡ് റിസോഴ്സ് ലോഗിന്‍,യൂണിറ്റി റിസോഴ്സ് ലൊക്കേഷന്‍,B
ഒരു ബില്‍ മണിബില്ലാണോ എന്ന് തീരുമാനിക്കുന്നത് ആരാണ്?,പ്രസിഡന്റ്‌,വൈസ് പ്രസിടന്റ്റ്,ലോക്സഭാ സ്പീക്കര്‍,അറ്റോര്‍ണി ജനറല്‍,C
ഇന്ത്യന്‍ വൈസ്പ്രസിഡന്റിനെ തെരഞ്ഞെടുക്കുന്ന സമിതിയില്‍ ചുവടെ ചേര്‍ത്തിട്ടുള്ള ആരെല്ലാം ഉള്‍പ്പെടുന്നു?,"ലോക്സഭാ, രാജ്യസഭാ അംഗങ്ങള്‍","ലോക്സഭാ, രാജ്യസഭാ, സംസ്ഥാന നിയമസഭാ അംഗങ്ങള്‍","പ്രസിടന്റ്റ്, ലോക്സഭാ, രാജ്യസഭാ അംഗങ്ങള്‍",ലോക്സഭയിലെയും രാജ്യസഭയിലെയും തെരഞ്ഞെടുക്കപ്പെട്ട അംഗങ്ങള്‍,D
ഇന്ത്യയിലെ ആദ്യ ഉപ പ്രധാനമന്ത്രി ആരായിരുന്നു?,ജവഹര്‍ലാല്‍ നെഹ്‌റു,സര്‍ദാര്‍ വല്ലഭായി പട്ടേല്‍,ഗുല്‍സാരിലാല്‍ നന്ദ,ബല്‍ദേവ് സിംഗ്,B
സെന്‍സസ്' ഇന്ത്യന്‍ ഭരണഘടനയുടെ ഏത് ലിസ്റ്റില്‍ ഉള്‍പ്പെടുന്നു?,യൂണിയന്‍ ലിസ്റ്റ്,കണ്‍കറന്റ് ലിസ്റ്റ്,സ്റ്റേറ്റ് ലിസ്റ്റ്,ഒരു ലിസ്റ്റിലും പെടുന്നില്ല,A
1956-ല്‍ ഭാഷയുടെ അടിസ്ഥാനത്തില്‍ സംസ്ഥാനങ്ങള്‍ പുനഃസംഘടിപ്പിച്ചത് എത്രാമത്തെ ഭരണഘടനാ ഭേദഗതിയിലൂടെയാണ്?,3-ാം ഭേദഗതി,5-ാം ഭേദഗതി,7-ാം ഭേദഗതി,9-ാം ഭേദഗതി,C
സൈക്കോ' എന്ന തൂലികാനാമം ഏത് എഴുത്ത്കാരന്‍റെതാണ്‌?,കെ. പദ്മനാഭന്‍,ഇ. മുഹമ്മദ്‌,ഡൊമനിക്ക് ചാക്കോ കിഴക്കേമുറി,എന്‍. വാസുദേവന്‍ നായര്‍,B
2019 ലോക ബാഡ്മിന്ടന്‍ ചാമ്പ്യന്‍ഷിപ്പില്‍ സ്വര്‍ണ്ണം നേടിയ ഇന്ത്യന്‍ കായിക താരം?,പി.വി. സിന്ധു,സൈന നെഹ്വാള്‍,ശ്രീകാന്ത് കിഡംബി,പ്രണോയ്കുമാര്‍,A
